Name:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1-A;B1-A;R1-A
Username:
HDR-T;HDR-CE;HDR-SE;HDR-V;FSC-A;SSC-A;V1 VioBlue-A;B1 FITC-A;R1 APC-A
Id:
0;0;0;0;1;2;3;5;8
Resolution:
4;4;4;4;4;4;4;4;4
Data min:
0.;0.;0.;0.;0.;0.;0.;0.;0.
Data max:
40.48320007324219;1000.;1000.;25.;1000.;1000.;1000.;1000.;1000.
Format:
Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear;Linear
Scale:
Linear;Linear;Linear;Linear;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic;Hyperlogarithmic
Data factor:
2.470160461962223e-002;1.000000047497451e-003;1.000000047497451e-003;3.999999910593033e-002;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003;1.000000047497451e-003
Gain:
1.;1.;1.;1.;1.;1.;1.;1.;1.
Data:
2.194515429437161e-002;5.066666562925093e-005;5.066666562925093e-005;1.327999960631132e-002;6.304868310689926e-002;1.337868254631758e-002;2.145399898290634e-002;3.418998047709465e-002;7.667599618434906e-002
2.196917124092579e-002;5.099999907542951e-005;5.099999907542951e-005;1.327999960631132e-002;5.65105602145195e-002;1.203139964491129e-002;9.820384904742241e-003;5.294284783303738e-004;2.458884147927165e-003
2.217329852283001e-002;5.13333325216081e-005;5.13333325216081e-005;1.327999960631132e-002;5.299935862421989e-002;1.290397811681032e-002;1.085924543440342e-002;7.623916491866112e-003;7.501041982322931e-003
2.224094048142433e-002;5.166666596778669e-005;5.166666596778669e-005;1.327999960631132e-002;5.868659541010857e-002;1.132354233413935e-002;1.124200876802206e-002;1.434363145381212e-002;8.729850873351097e-003
2.239533513784409e-002;5.199999941396527e-005;5.199999941396527e-005;1.327999960631132e-002;6.589347869157791e-002;1.321931090205908e-002;1.779169961810112e-002;4.54692542552948e-002;1.43723338842392e-002
2.262337692081928e-002;5.233333286014386e-005;5.233333286014386e-005;1.327999960631132e-002;7.31465071439743e-002;1.436505746096373e-002;1.949511654675007e-002;6.705722212791443e-002;0.1111168712377548
2.289264090359211e-002;5.266666630632244e-005;5.266666630632244e-005;1.327999960631132e-002;6.229650601744652e-002;1.442076079547405e-002;1.302443724125624e-002;2.29633841663599e-002;1.044852193444967e-002
2.297109179198742e-002;5.299999975250103e-005;5.299999975250103e-005;1.327999960631132e-002;6.15631602704525e-002;1.253786683082581e-002;9.195233695209026e-003;7.090326398611069e-004;5.431052763015032e-003
2.307716012001038e-002;5.333333319867961e-005;5.333333319867961e-005;1.579999923706055e-002;5.118409544229507e-002;1.399682089686394e-002;1.157219335436821e-002;1.052993163466454e-002;3.875248832628131e-003
2.332727238535881e-002;5.400000009103678e-005;5.400000009103678e-005;1.579999923706055e-002;7.446040958166122e-002;1.707365177571774e-002;1.969764567911625e-002;4.920013621449471e-002;4.170065000653267e-002
2.33677513897419e-002;5.433333353721537e-005;5.433333353721537e-005;1.579999923706055e-002;6.150342151522636e-002;1.289728842675686e-002;9.492085315287113e-003;1.830731052905321e-003;3.178943414241076e-003
2.347462810575962e-002;5.466666698339395e-005;5.466666698339395e-005;1.579999923706055e-002;5.35937063395977e-002;1.524906326085329e-002;1.031117327511311e-002;5.939836148172617e-003;4.089112859219313e-003
2.378886193037033e-002;5.533333387575112e-005;5.533333387575112e-005;1.579999923706055e-002;6.461751461029053e-002;1.399022433906794e-002;9.811055846512318e-003;1.124295755289495e-003;4.044176544994116e-003
2.39920150488615e-002;5.566666732192971e-005;5.566666732192971e-005;1.579999923706055e-002;5.184121802449226e-002;1.148132793605328e-002;1.045896857976914e-002;5.444286507554352e-004;7.365002762526274e-003
2.399230562150478e-002;5.600000076810829e-005;5.600000076810829e-005;1.579999923706055e-002;5.927996337413788e-002;1.286057662218809e-002;9.83018521219492e-003;1.437834231182933e-003;3.660611342638731e-003
2.41750031709671e-002;5.666666766046546e-005;5.666666766046546e-005;1.579999923706055e-002;6.065721809864044e-002;1.440080255270004e-002;1.484553422778845e-002;2.219459600746632e-002;1.573374308645725e-002
2.428567036986351e-002;5.700000110664405e-005;5.700000110664405e-005;1.579999923706055e-002;6.469856947660446e-002;1.523574627935886e-002;9.354829788208008e-003;1.864018384367228e-003;5.125051829963923e-003
2.43107657879591e-002;5.733333455282264e-005;5.733333455282264e-005;1.579999923706055e-002;6.172758713364601e-002;1.247352547943592e-002;9.145064279437065e-003;2.612282056361437e-003;3.655966371297836e-003
2.433049492537975e-002;5.766666799900122e-005;5.766666799900122e-005;1.579999923706055e-002;7.246098667383194e-002;1.651705056428909e-002;1.915966533124447e-002;7.156166434288025e-002;3.356543928384781e-002
2.451878413558006e-002;5.866666469955817e-005;5.866666469955817e-005;1.579999923706055e-002;5.618733167648315e-002;1.125976536422968e-002;9.913671761751175e-003;5.928287864662707e-004;6.086836103349924e-003
2.489720471203327e-002;5.899999814573675e-005;5.899999814573675e-005;1.579999923706055e-002;4.948897659778595e-002;1.14902863278985e-002;9.404968470335007e-003;1.276757568120956e-003;1.960177207365632e-003
2.507157810032368e-002;5.933333159191534e-005;5.933333159191534e-005;1.579999923706055e-002;5.231339111924171e-002;9.015384130179882e-003;9.392636828124523e-003;8.031938225030899e-003;3.489193506538868e-003
2.550302259624004e-002;5.966666503809393e-005;5.966666503809393e-005;1.579999923706055e-002;6.762717664241791e-002;1.492020953446627e-002;1.82869378477335e-002;4.279457777738571e-002;2.694112062454224e-002
2.566513977944851e-002;6.03333319304511e-005;6.03333319304511e-005;1.579999923706055e-002;6.967543065547943e-002;1.671399176120758e-002;1.871814951300621e-002;3.608362749218941e-002;1.968138478696346e-002
2.57535669952631e-002;6.066666537662968e-005;6.066666537662968e-005;1.579999923706055e-002;5.182334780693054e-002;1.11453253775835e-002;9.51065681874752e-003;1.272182678803802e-003;4.13147360086441e-003
2.585951425135136e-002;6.133333226898685e-005;6.133333226898685e-005;1.743999868631363e-002;5.193725600838661e-002;9.322387166321278e-003;9.96748823672533e-003;8.414664771407843e-004;2.064780797809362e-003
2.592313848435879e-002;6.199999916134402e-005;6.199999916134402e-005;1.743999868631363e-002;6.767301261425018e-002;1.554956566542387e-002;1.898166351020336e-002;5.437954515218735e-002;4.785264655947685e-002
2.60413009673357e-002;6.233333260752261e-005;6.233333260752261e-005;1.743999868631363e-002;5.47018013894558e-002;1.312581170350313e-002;1.557080447673798e-002;2.924162149429321e-002;1.141126826405525e-002
2.622155658900738e-002;6.333333294605836e-005;6.333333294605836e-005;1.743999868631363e-002;6.836970150470734e-002;1.726486533880234e-002;2.026630192995071e-002;6.272055953741074e-002;3.206412866711617e-002
2.657055482268333e-002;6.366666639223695e-005;6.366666639223695e-005;1.743999868631363e-002;6.339778751134872e-002;1.436186488717794e-002;9.774642065167427e-003;6.646027788519859e-003;3.952393773943186e-003
